question,answer,original_correct_answer
What's the term for a piece of an organism breaking off and forming a new organism?,"Fragmentation occurs when a piece breaks off from a parent organism. Then the piece develops into a new organism. Sea stars, like the one in Figure below , can reproduce this way. In fact, a new sea star can form from a single “arm. ”.",fragmentation
"Aquatic producers need nutrients and what dissolved gas, which is more abundant near the surface of water?","In addition to sunlight, aquatic producers also need dissolved oxygen and nutrients. Water near the surface generally contains more dissolved oxygen than deeper water. Many nutrients enter the water from the land. Therefore, water nearer shore usually contains more dissolved nutrients than water farther from shore.",oxygen
What are small organelles and are the site of protein synthesis called.,Ribosomes are small organelles and are the site of protein synthesis. They are found in all cells.,ribosomes
"When the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell during this process?","During mitosis , when the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell. This is shown in Figure below . You can watch an animation of the process at the following link: http://www. biology. arizona. edu/Cell_bio/tutorials/cell_cycle/MitosisFlash. html .",mitosis
What do we call the mathematical field of study credited to french mathematician-philosopher rene descartes?,"The plot that we know of as a graph was the brainchild of the French mathematician-philosopher Rene Descartes (1596-1650). His studies in mathematics led him to develop what was known as “Cartesian geometry”, including the idea of our current graphs. The coordinates are often referred to as Cartesian coordinates.",cartesian geometry
"What results when volcanic ash encircles the globe, blocking the sun and lowering the temperature of the entire planet?","Supervolcanoes are the most dangerous type of volcano. During an eruption, enormous amounts of ash are thrown into the atmosphere. The ash encircles the globe. This blocks the Sun and lowers the temperature of the entire planet. The result is a volcanic winter.",volcanic winter
What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,"Besides the four parts listed above, many cells also have a nucleus. The nucleus of a cell is a structure enclosed by a membrane that contains most of the cell’s DNA. Cells are classified in two major groups based on whether or not they have a nucleus. The two groups are prokaryotic cells and eukaryotic cells.",nucleus
What are broad explanations that are widely accepted as true?,Scientific theories are broad explanations that are widely accepted as true. This is because they are supported by a great deal of evidence.,scientific theories
Geologists group rocks based on how they what?,Geologists group rocks based on how they form. There are three major rock types. Each will be described in more detail in the coming concepts.,form
Ticks spread bacteria that causes what condition?,Bacterial Disease Vectors. Ticks spread bacteria that cause Lyme disease. Deerflies spread bacteria that cause tularemia.,lyme disease
Water leaves ponds and lakes through evaporation and also as what?,Ponds and lakes may get their water from several sources. Some falls directly into them as precipitation. Some enters as runoff and some from streams and rivers. Water leaves ponds and lakes through evaporation and also as outflow.,outflow
"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?","Below the topsoil is the “B” horizon. This is also called the subsoil . Soluble minerals and clays accumulate in the subsoil. Because it has less organic material, this layer is lighter brown in color than topsoil. It also holds more water due to the presence of iron and clay. There is less organic material in this layer.",subsoil
What type of microscope is used to see extremely small objects?,"Light microscopes continued to improve and are still used today. However, to see extremely small objects, a different type of microscope, such as an electron microscope, must be used.",electron microscope
What is the study of energy and how it interacts with matter?,"Physics is the study of energy and how it interacts with matter. Important concepts in physics include motion, forces such as magnetism and gravity, and different forms of energy. Physics concepts can answer all the questions on the right page of the notebook in Figure above .",physics
What is it called when rays focus at different distances from the lens?,Figure 26.30 Spherical aberration is caused by rays focusing at different distances from the lens.,spherical aberration
What serves as the control center of the nervous system?,"The brain serves as the control center of the nervous system and the body as a whole. It lets us understand what we see, hear, or sense in other ways. It allows us to learn, think, remember, and use language. It controls all the organs and muscles in our body.",brain
"Most arthropods are insects. the phylum also includes spiders, centipedes, and what?","Most arthropods are insects. The phylum also includes spiders, centipedes, and crustaceans.",crustaceans
What is the region known as the myelencephalon in the embryonic brain?,"Medulla The medulla is the region known as the myelencephalon in the embryonic brain. The initial portion of the name, “myel,” refers to the significant white matter found in this region—especially on its exterior, which is continuous with the white.",medulla
A pulley changes the direction of the force t exerted by the cord without changing its what?,"automobile axle drives a wheel, which has a much larger diameter than the axle. The MA is less than 1. (c) An ordinary pulley is used to lift a heavy load. The pulley changes the direction of the force T exerted by the cord without changing its magnitude. Hence, this machine has an MA of 1.",magnitude
What term is used to describe organelles that are found only in animal cells?,Centrioles are organelles that are found only in animal cells. They are located near the nucleus. They help organize the DNA in the nucleus before cell division takes place. They ensure that the DNA divides correctly when the cell divides.,centrioles
Applying a pressure greater than the osmotic pressure of a solution will do what?,Figure 11.26 Applying a pressure greater than the osmotic pressure of a solution will reverse osmosis. Solvent molecules from the solution are pushed into the pure solvent.,reverse osmosis
What is the tectonic zone called where two plates come together?,Describe and explain volcanic activity that occurs within oceanic and continental plates.,convergent boundary
What atoms make up a water molecule?,Water is a compound that forms molecules. Each water molecule consists of two atoms of hydrogen (white) and one atom of oxygen (red).,hydrogen and oxygen
Light waves which interfere with themselves after interaction with a small aperture or target are said to what?,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract .,diffract
What property of warm air causes it to rise above cold air?,"The warm-air vent is placed near the floor of the room. Warm air is less dense than cold air so it rises. If the warm-air vent were placed near the ceiling instead, how would this affect the transfer of thermal energy throughout the room?.",lower density
Worms grow to adult size without going through what stage?,"In some species, the same individual produces both sperm and eggs. But worms mate to exchange sperm, rather than self-fertilizing their own eggs. Fertilized eggs are deposited in a mucous cocoon. Offspring emerge from the cocoon looking like small adults. They grow to adult size without going through a larval stage.",larval
What does the pull of the moon's gravity on earth cause?,"Figure below shows why tides occur. The main cause of tides is the pull of the Moon’s gravity on Earth. The pull is greatest on whatever is closest to the Moon. Although the gravity pulls the land, only the water can move. As a result:.",tides
What historical event taught people that soil could be lost by plowing and growing crops and encouraged new methods to prevent erosion?,The Dust Bowl taught people that soil could be lost by plowing and growing crops. This led to the development of new ways of farming that help protect the soil. Some of the methods are described in Figure below .,the dust bowl
What do you call cellular respiration that does not need oxygen to proceed?,"Scientists think that glycolysis evolved before the other stages of cellular respiration. This is because the other stages need oxygen, whereas glycolysis does not, and there was no oxygen in Earth’s atmosphere when life first evolved about 3.5 to 4 billion years ago. Cellular respiration that proceeds without oxygen is called anaerobic respiration .",anaerobic respiration
"When a liquid is heated, molecules with enough kinetic energy escape the liquid and become what?",Kinetic energy distribution curves for a liquid at two temperatures T 1 and T 2 . The shaded area is the molecules with enough kinetic energy to escape the liquid and become vapor.,vapor
What part of the cell in plants and algae does photosynthesis take place?,organelle in the cells of plants and algae where photosynthesis takes place.,organelles
What type of structures evolved to do the same job by unrelated organisms?,"Scientists compare the anatomy, embryos, and DNA of living things to understand how they evolved. Evidence for evolution is provided by homologous structures. These are structures shared by related organisms that were inherited from a common ancestor. Other evidence is provided by analogous structures. These are structures that unrelated organisms share because they evolved to do the same job.",analogous structures
The structures of both trifluoramine and hydroxylamine are similar to that of what?,The structures of both trifluoramine and hydroxylamine are similar to that of ammonia.,ammonia
"All cells have certain parts in common. these parts include the cell membrane, cytoplasm, dna, and what?","All cells have certain parts in common. These parts include the cell membrane, cytoplasm, DNA, and ribosomes.",ribosomes
What are most protist diseases in humans caused by?,Most protist diseases in humans are caused by protozoa. Protozoa make humans sick when they become human parasites.,protozoa
What type of treatment is necessary for anaphylaxis?,"In some people, a food allergy can trigger a severe allergic reaction called anaphylaxis. Emergency treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a coma or death. Anaphylaxis is vary rare. The vast majority of people will never have an anaphylactic reaction. The life-threatening symptoms of anaphylaxis include:.",emergency
Motion of water molecules helps break up interactions between what?,Motion of water molecules helps break up interactions between solid ions or molecules.,solid ions or molecules
"What is the name for the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells?","The second major step is cytokinesis. As in prokaryotic cells, the cytoplasm must divide. Cytokinesis is the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells.",cytokinesis
What third property is different if two boxes have the same volume but one has greater mass?,"A: Both boxes have the same volume because they are the same size. However, the books have greater mass than the feathers. Therefore, the box of books has greater density.",density
"What is the clear, protective covering on the outside of the eye?","First, light passes through the cornea of the eye. The cornea is a clear, protective covering on the outside of the eye.",cornea
Where do extrusive igneous rocks cool at?,Extrusive igneous rocks cool at the surface. Volcanoes are one type of feature that forms from extrusive rocks. Several other interesting landforms are also extrusive features. Intrusive igneous rocks cool below the surface. These rocks do not always remain hidden. Rocks that formed in the crust are exposed when the rock and sediment that covers them is eroded away.,surface
The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet what?,The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet very strong.,very strong
The magnitude of the momentum vector is the product of what two properties?,Momentum is a vector that points in the direction of the velocity vector. The magnitude of this vector is the product of mass and speed.,mass and speed
What occurs when light reflects off a very smooth surface and forms a clear image?,Regular reflection occurs when light reflects off a very smooth surface and forms a clear image. Diffuse reflection occurs when light reflects off a rough surface and forms a blurry image or no image at all.,regular reflection
"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?","A N SW E R S 1. Molarity is moles per liter, whereas molality is moles per kilogram of solvent.",molarity
What tissue consists of cells that form the body’s structure?,"Connective tissue consists of cells that form the body’s structure. Examples include bone and cartilage, which protect and support the body. Blood is also a connective tissue. It circulates and connects cells throughout the body.",connective
"What state of matter is characterized by tiny particles separated by large distances, which do not experience any force of attraction or repulsion with each other?","Gases are composed of tiny particles that are separated by large distances. Gas particles are constantly moving, experiencing collisions with other gas particles and the walls of their container. The velocity of gas particles is related to the temperature of a gas. Gas particles do not experience any force of attraction or repulsion with each other.",gas
What do sharks use to secrete salt to assist in osmoregulation?,animals exposed to similar levels of urea. Sharks are cartilaginous fish with a rectal gland to secrete salt and assist in osmoregulation.,rectal gland
"In naming ternary compounds, which type of particle is stated first?","Ternary compounds are named by stating the cation first, followed by the anion.",cation
What type of invertebrates are jellyfish and corals known as?,"Cnidarians are invertebrates such as jellyfish and corals. They belong to Phylum Cnidaria. All cnidarians are aquatic. Most of them live in the ocean. Cnidarians are a little more complex than sponges. Besides specialized cells, they have tissues and radial symmetry. There are more than 10,000 cnidarian species, see Figure below .",cnidarians
What is the most common cause of hearing loss?,Many activities expose people to dangerously loud sounds that can cause hearing loss.,loud sounds
What type of current do generators in cars use?,Generators may be set up to produce either alternating or direct current. Generators in cars and most power plants produce alternating current.,alternating current
Underground rock in a molten state is called?,A: It is always very hot deep underground where molten rock originates. The high temperatures give rock enough energy to melt and remain in a molten state. Underground rock in this state is called magma.,magma
Decreasing the volume of a gas and keeping everything else the same will cause its pressure to change in what way?,"When gas molecules bump into things, it creates pressure. Pressure is greater when gas molecules occupy a smaller space, because greater crowding results in more collisions. This explains why decreasing the volume of a gas increases its pressure.",increase
What is the main function of the cardiovascular system?,"The main function of the cardiovascular system is transporting substances around the body. Figure above shows some of the substances that are transported in the blood. They include hormones, oxygen, nutrients from digested food, and cellular wastes. Transport of all these materials is necessary to maintain homeostasis of the body and life itself.",transporting substances around the body
What type of butterfly do birds avoid eating since it makes them sick?,"Many birds learn to avoid eating monarch butterflies, like the one pictured in Figure below . Monarch butterflies taste bad and make birds sick. In this case, the behavior is learned because it is punished with a nasty taste and illness.",monarch butterflies
"Population growth is determined by rates of birth, death, immigration, and what else?","Population growth is determined by rates of birth, death, immigration, and emigration.",emigration
Energy resources can be put into two categories — renewable or?,Energy resources can be put into two categories — renewable or non-renewable. Nonrenewable resources are used faster than they can be replaced. Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible.,nonrenewable
What is it called when a new species arises without geographic separation?,"Less often, a new species arises without geographic separation. This is called sympatric speciation . The following example shows one way this can occur.",sympatric speciation
What is the force pushing a rocket called?,Most halogens have a variety of important uses. A few are described in the Table below .,thrust
What do we call the seasonal movement of animals?,"Monarch butterflies gather in large groups as they migrate 2,500 miles south each fall. They return to the north in the spring. This migration is a cycle that repeats every year.",migration
What substances digest the food in the vacuole of an ingestive protist?,"Ingestive protists ingest, or engulf, bacteria and other small particles. They extend their cell wall and cell membrane around the food item, forming a food vacuole. Then enzymes digest the food in the vacuole.",enzymes
What is the leading cause of lung cancer?,"Tobacco smoke contains dozens of carcinogens, including nicotine and formaldehyde. Exposure to tobacco smoke is the leading cause of lung cancer.",tobacco smoke
What term is used describe energy released during an earthquake?,For decades scientists have had equipment that can measure earthquake magnitude. The earthquake magnitude is the energy released during the quake.,magnitude
Which is larger: the human sperm or the human egg?,A human sperm is a tiny cell with a tail. A human egg is much larger. Both cells are mature haploid gametes that are capable of fertilization. What process is shown in this photograph?.,human egg
What is a measurement of the amount of variation of the species in a given area called?,"Biodiversity is a measurement of the amount of variation of the species in a given area. More specifically, biodiversity can be defined as the variety of life and its processes, including the variety of living organisms, the genetic differences among them, and the communities and ecosystems in which they occur.",biodiversity
What is the second most common type of cancer in both men and women?,"In both men and women, the second most common type of cancer is lung cancer. Most cases of lung cancer develop in people who smoke.",lung
What is the predicted year that as many as half of all remaining species could go extinct?,"Evidence shows that a sixth mass extinction is happening right now. Species are currently going extinct at the fastest rate since the dinosaurs died out. Dozens of species are going extinct every day. If this rate continues, as many as half of all remaining species could go extinct by 2050.",2050
"What body system consists of organs that break down food, absorb nutrients, and eliminate waste?","The digestive system consists of organs that break down food, absorb nutrients, and eliminate waste.",digestive system
The similarity in biochemical compounds between living things provides evidence for the evolution of species from what?,Biochemical compounds are carbon-based compounds that are found in living things. The similarity in biochemical compounds between living things provides evidence for the evolution of species from common ancestors.,common ancestors
What is in the inside of your mouth and nose instead of skin?,"The mouth and nose are not lined with skin. Instead, they are lined with mucous membranes . Other organs that are exposed to the outside world, including the lungs and stomach, are also lined with mucous membranes. Mucous membranes are not tough like skin, but they have other defenses.",mucous membranes
"Which theorem states that, if a population meets certain conditions, it will be in equilibrium?","The Hardy-Weinberg theorem states that, if a population meets certain conditions, it will be in equilibrium. In an equilibrium population, allele and genotype frequencies do not change over time. The conditions that must be met are no mutation, no migration, very large population size, random mating, and no natural selection.",hardy-weinberg theorem
What broad group of living things serves as the major producers in terrestrial biomes?,"Plants are the major producers in terrestrial biomes. They have five basic needs: air, warmth, sunlight, water, and nutrients. How well these needs are met in a given location depends on the growing season and soil quality, both of which are determined mainly by climate.",plants
Motor vehicles account for almost half of the consumption of what?,"Motor vehicles account for almost half of fossil fuel use. Most vehicles run on gasoline, which comes from petroleum.",fossil fuel
Most fungi reproduce asexually by producing what?,Almost all fungi reproduce asexually by producing spores. A fungi spore is a haploid cell produced by mitosis from a haploid parent cell. It is genetically identical to the parent cell. Fungi spores can develop into new haploid individuals without being fertilized.,spores
The process of moving from areas of high amounts to areas of low amounts is called what?,They will all blend together. The dyes will move through the water until an even distribution is achieved. The process of moving from areas of high amounts to areas of low amounts is called diffusion.,diffusion
The acidity of a solution is typically assessed experimentally by measurement of its what?,"The acidity of a solution is typically assessed experimentally by measurement of its pH. The pOH of a solution is not usually measured, as it is easily calculated from an experimentally determined pH value. The pH of a solution can be directly measured using a pH meter (Figure 14.4).",ph
What is the smallest part of a compound?,A compound is a substance that consists of two or more elements. A compound has a unique composition that is always the same. The smallest particle of a compound is called a molecule.,molecule
What rod provides stiffness to counterbalance the pull of muscles?,The notochord lies between the dorsal nerve cord and the digestive tract. It provides stiffness to counterbalance the pull of muscles.,notochord
"What is a mixture of eroded rock, minerals, partly decomposed organic matter, and other materials called?","Soil is a mixture of eroded rock, minerals, partly decomposed organic matter, and other materials. It is essential for plant growth, so it is the foundation of terrestrial ecosystems. Soil is important for other reasons as well. For example, it removes toxins from water and breaks down wastes.",soil
Pieces of the cell break off and form a new cell in what type of reproduction that produces genetically identical organisms?,"Like bacteria, reproduction in archaea is asexual. Archaea can reproduce through binary fission , where a parent cell divides into two genetically identical daughter cells. Archaea can also reproduce asexually through budding and fragmentation, where pieces of the cell break off and form a new cell, also producing genetically identical organisms.",fragmentation
How many pairs of legs do arachnids have?,"Arachnids have four pairs of legs, specialized appendages, and a fused head and thorax.",4
What happens when a sperm and an egg cell combine?,Sexual reproduction happens when a sperm and an egg cell combine together. This is called fertilization . Sperm are released into the vagina during sexual intercourse. They “swim” through the uterus and enter a fallopian tube . This is where fertilization normally takes place.,fertilization
Red litmus paper turns what color when placed in a basic solution?,Red litmus paper turns blue when placed in a basic solution.,blue
What travels 9.5 trillion kilometers a year?,"the distance light can travel in one year, 9.5 trillion kilometers.",light
Atherosclerosis and coronary heart disease are examples of what type of body system disease?,"Diseases of the cardiovascular system are common and may be life threatening. Examples include atherosclerosis and coronary heart disease. A healthy lifestyle can reduce the risk of such diseases developing. This includes avoiding smoking, getting regular physical activity, and maintaining a healthy percent of body fat.",cardiovascular system
"During cellular respiration, carbons from the glucose molecule are changed back into what gas?","In biological systems, matter is continuously changing states as well. For example, carbon in the form of the gas carbon dioxide is changed into glucose, a solid. This change, of course, occurs during photosynthesis. During cellular respiration, carbons from the glucose molecule are changed back into the carbon dioxide gas.",carbon dioxide
Dolphins are what type of animal?,Dolphins are mammals that have adapted to swimming and reproducing in water.,mammal
What are the active transport mechanisms by which molecules enter and leave the cell inside vesicles?,Endocytosis and exocytosis are active transport mechanisms in which large molecules enter and leave the cell inside vesicles.,endocytosis and exocytosis
"Limestone is insoluble in water, so what can dissolve it?",An element is a substance that cannot be broken down into chemically simpler components. Compounds can be broken down into simpler substances.,acid
"Rather than being dead, dry, and brittle, what support structures of the human body consist of living tissues and are supplied with blood and nerves?","Some people think bones are like chalk: dead, dry, and brittle. In reality, bones are very much alive. They consist of living tissues and are supplied with blood and nerves.",bones
What is the term for the force that a magnet exerts on certain materials?,"The force that a magnet exerts on certain materials is called magnetic force . Like electric force, magnetic force is exerted over a distance and includes forces of attraction and repulsion. North and south poles of two magnets attract each other, while two north poles or two south poles repel each other.",magnetic force
Humans create different breeds of organisms using what kind of selection?,"Artificial Selection: Humans used artificial selection to create these different breeds. Both dog breeds are descended from the same wolves, and their genes are almost identical.",artificial selection
The strength of a base depends on the concentration of _______ it produces when dissolved in water?,"The strength of a base depends on the concentration of hydroxide ions it produces when dissolved in water. For example, sodium hydroxide completely breaks down into ions in water, so it is a strong base. However, only a fraction of ammonia breaks down into ions, so it is a weak base.",hydroxide ions
"While numerous elements can undergo fission, only a few can be used as fuels in what nuclear devices?","Numerous elements can undergo fission, but only a few can be used as fuels in a reactor. What aspect of nuclear fission allows a nuclear chain reaction to occur?.",reactors
Electronegativities are used to determine the polarity of covalent bonds. the polarity of a covalent bond can be judged by determining the difference of the electronegativities of what involved in the covalent bond?,"Electronegativities are used to determine the polarity of covalent bonds. The polarity of a covalent bond can be judged by determining the difference of the electronegativities of the two atoms involved in the covalent bond, as summarized in the following table: Electronegativity Difference.",two atoms
"Under the right conditions, what energy source can be used to eject electrons from a solid material?","Under the right conditions, light can be used to eject electrons from a solid material.",light
A mitotic spindle forms from the what?,"A mitotic spindle forms from the centrosomes. The nuclear envelope dissolves. Chromosomes attach to the mitotic spindle, which separates the chromosomes and elongates the cell.",centrosomes