question,answer,original_correct_answer
How are bacteria cells similar to our cells?,"Yes and no. Bacteria cells are similar to our cells in some ways. Like our cells, bacteria cells have DNA and a plasma membrane. But bacteria are unique in other ways. They are called prokaryotic cells because of these differences.",dna & plasma membrane
What disease is unpreventable in the type one form but may be prevented by diet if it is of the second type?,"Type 1 diabetes and other autoimmune diseases cannot be prevented. But choosing a healthy lifestyle can help prevent type 2 diabetes. Getting plenty of exercise, avoiding high-fat foods, and staying at a healthy weight can reduce the risk of developing this type of diabetes. This is especially important for people who have family members with the disease.",diabetes
Water leaves ponds and lakes through evaporation and also as what?,Ponds and lakes may get their water from several sources. Some falls directly into them as precipitation. Some enters as runoff and some from streams and rivers. Water leaves ponds and lakes through evaporation and also as outflow.,outflow
The acidity of a solution is typically assessed experimentally by measurement of its what?,"The acidity of a solution is typically assessed experimentally by measurement of its pH. The pOH of a solution is not usually measured, as it is easily calculated from an experimentally determined pH value. The pH of a solution can be directly measured using a pH meter (Figure 14.4).",ph
What are the special compartments that are surrounded by membranes inside eukaryotic cells called?,"Eukaryotic cells contain special compartments surrounded by membranes, called organelles. For example, notice in this image the mitochondria, lysosomes, and Golgi apparatus.",organelles
What is the leading cause of lung cancer?,"Tobacco smoke contains dozens of carcinogens, including nicotine and formaldehyde. Exposure to tobacco smoke is the leading cause of lung cancer.",tobacco smoke
What is the name of the major sex hormone in females?,Two functions of the female reproductive system are producing eggs and secreting estrogen. Eggs are female gametes. Estrogen is the major sex hormone in females. The female reproductive system also supports a developing fetus and gives birth to an infant.,estrogen
What refers to the ability to change or move matter and is required by all life processes and living things?,"Energy is the ability to change or move matter. All life processes require energy, so all living things need energy.",energy
What term is used to describe organelles that are found only in animal cells?,Centrioles are organelles that are found only in animal cells. They are located near the nucleus. They help organize the DNA in the nucleus before cell division takes place. They ensure that the DNA divides correctly when the cell divides.,centrioles
What broad group of living things serves as the major producers in terrestrial biomes?,"Plants are the major producers in terrestrial biomes. They have five basic needs: air, warmth, sunlight, water, and nutrients. How well these needs are met in a given location depends on the growing season and soil quality, both of which are determined mainly by climate.",plants
The process of moving from areas of high amounts to areas of low amounts is called what?,They will all blend together. The dyes will move through the water until an even distribution is achieved. The process of moving from areas of high amounts to areas of low amounts is called diffusion.,diffusion
What do sharks use to secrete salt to assist in osmoregulation?,animals exposed to similar levels of urea. Sharks are cartilaginous fish with a rectal gland to secrete salt and assist in osmoregulation.,rectal gland
What protists absorb food molecules across their cell membranes?,Absorptive protists absorb food molecules across their cell membranes. This occurs by diffusion . These protists are important decomposers.,absorptive
All of the stages that a cell goes through make up what?,Cell division is just one of the stages that a cell goes through during its lifetime. All of the stages that a cell goes through make up the cell cycle .,the cell cycle
The movement of bone away from the midline of the body is called what?,The movement of bone away from the midline of the body is called ________. circumduction b. extension c. adduction d. abduction.,extension
What part of the body do fish use to absorb oxygen?,"In order to absorb oxygen from the water, fish use gills ( Figure below ). Gills take dissolved oxygen from water as the water flows over the surface of the gill.",gills
"What process is at work when warm air or water rises, and cool air or water sinks?","Warmer, lighter air is more buoyant than the cooler air above it. So the warm air rises. The cooler air is denser than the air beneath it. So it sinks down. This is convection: warm air rises, and cool air sinks. Warm fluids can undergo convection as well. This is described in the chapter Plate Tectonics .",convection
What is the main component of phytoplankton?,"Algae play significant roles as producers in aquatic ecosystems. Microscopic forms live suspended in the water column. They are the main component of phytoplankton. As such, they contribute to the food base of most marine ecosystems.",algae
How did a vascular let plants grow?,The evolution of vascular tissue revolutionized the plant kingdom. Vascular tissue greatly improved the ability of plants to absorb and transfer water. This allowed plants to grow larger and taller. They could also liver in drier habitats and survive periods of drought. Early vascular plants probably resembled the fern in Figure below .,they could grow taller
What is it called when a new species arises without geographic separation?,"Less often, a new species arises without geographic separation. This is called sympatric speciation . The following example shows one way this can occur.",sympatric speciation
What pair of tubes that extends toward the ovaries features a fringelike structure that sweeps eggs inside?,Extending from the upper corners of the uterus are the two fallopian tubes. Each tube reaches (but is not attached to) one of the ovaries. The ovary end of the tube has a fringelike structure that moves in waves. The motion sweeps eggs from the ovary into the tube.,fallopian tubes
Light waves which interfere with themselves after interaction with a small aperture or target are said to what?,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract .,diffract
What is the atomic number of magnesium?,REVIEW QUESTIONS 2. Magnesium has an atomic number of 12. Which of the following statements is true of a neutral magnesium atom? a.,12
"Which theorem states that, if a population meets certain conditions, it will be in equilibrium?","The Hardy-Weinberg theorem states that, if a population meets certain conditions, it will be in equilibrium. In an equilibrium population, allele and genotype frequencies do not change over time. The conditions that must be met are no mutation, no migration, very large population size, random mating, and no natural selection.",hardy-weinberg theorem
What are the special mating behaviors in birds called?,"Birds reproduce sexually and have separates sexes. Fertilization occurs internally, so males and females must mate. Many bird species have special behaviors, such as unique songs or visual displays, for attracting mates. These special behaviors are called courtship. The white peacock in Figure below is putting on a stunning display of his amazing tail feathers to court a mate.",courtship
What are the active transport mechanisms by which molecules enter and leave the cell inside vesicles?,Endocytosis and exocytosis are active transport mechanisms in which large molecules enter and leave the cell inside vesicles.,endocytosis and exocytosis
"What state of matter is characterized by tiny particles separated by large distances, which do not experience any force of attraction or repulsion with each other?","Gases are composed of tiny particles that are separated by large distances. Gas particles are constantly moving, experiencing collisions with other gas particles and the walls of their container. The velocity of gas particles is related to the temperature of a gas. Gas particles do not experience any force of attraction or repulsion with each other.",gas
What do nonvascular plants reproduce with?,"Nonvascular plants are low-growing, reproduce with spores, and need a moist habitat.",spores
"What is the term for rain that has a ph less than 5, due to carbon dioxide dissolving?","Acid rain is rain that has a pH less than 5 (see Figure below ). The pH of normal rain is 5.6. It’s slightly acidic because carbon dioxide in the air dissolves in rain. This forms carbonic acid, a weak acid.",acid rain
What historical event taught people that soil could be lost by plowing and growing crops and encouraged new methods to prevent erosion?,The Dust Bowl taught people that soil could be lost by plowing and growing crops. This led to the development of new ways of farming that help protect the soil. Some of the methods are described in Figure below .,the dust bowl
"Limestone is insoluble in water, so what can dissolve it?",An element is a substance that cannot be broken down into chemically simpler components. Compounds can be broken down into simpler substances.,acid
The cytoplasm divides during what stage of the cell cycle?,"3. The third step is the division of the rest of the cell. This is called cytokinesis, as it is in a prokaryotic cell. During this step, the cytoplasm divides, and two daughter cells form.",cytokinesis
What is the term for the force that a magnet exerts on certain materials?,"The force that a magnet exerts on certain materials is called magnetic force . Like electric force, magnetic force is exerted over a distance and includes forces of attraction and repulsion. North and south poles of two magnets attract each other, while two north poles or two south poles repel each other.",magnetic force
What term is used describe energy released during an earthquake?,For decades scientists have had equipment that can measure earthquake magnitude. The earthquake magnitude is the energy released during the quake.,magnitude
What's the term for a piece of an organism breaking off and forming a new organism?,"Fragmentation occurs when a piece breaks off from a parent organism. Then the piece develops into a new organism. Sea stars, like the one in Figure below , can reproduce this way. In fact, a new sea star can form from a single “arm. ”.",fragmentation
An amide bond joining two amino acid units is called a what?,An amide bond joining two amino acid units is called a peptide bond. Note that the product molecule still has a reactive amino group on the left and a reactive carboxyl.,peptide bond
Worms grow to adult size without going through what stage?,"In some species, the same individual produces both sperm and eggs. But worms mate to exchange sperm, rather than self-fertilizing their own eggs. Fertilized eggs are deposited in a mucous cocoon. Offspring emerge from the cocoon looking like small adults. They grow to adult size without going through a larval stage.",larval
What atoms make up a water molecule?,Water is a compound that forms molecules. Each water molecule consists of two atoms of hydrogen (white) and one atom of oxygen (red).,hydrogen and oxygen
What is the organ system that brings oxygen into the body and releases carbon dioxide?,organ system that brings oxygen into the body and releases carbon dioxide into the atmosphere.,lungs
What lies between the continental shelf and the abyssal plain?,The continental slope lies between the continental shelf and the abyssal plain. It has a steep slope with a sharp drop to the deep ocean floor.,continental slope
What happens when a sperm and an egg cell combine?,Sexual reproduction happens when a sperm and an egg cell combine together. This is called fertilization . Sperm are released into the vagina during sexual intercourse. They “swim” through the uterus and enter a fallopian tube . This is where fertilization normally takes place.,fertilization
What part of the body does the mycobacterium tuberculosis bacterium usually attack?,"This bacterium, called Mycobacterium tuberculosis , causes the disease Tuberculosis (TB). These bacteria usually attack the lungs. If left untreated, the infection can be fatal. Many other illnesses, mild and severe, are also caused by certain types of bacteria.",lungs
Elements with magic numbers of what tend to have more stable isotopes?,Isotopes with magic numbers of protons and/or neutrons tend to be especially stable. Elements with magic numbers of protons tend to have more stable isotopes than elements that do not.,protons
The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet what?,The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet very strong.,very strong
Where do extrusive igneous rocks cool at?,Extrusive igneous rocks cool at the surface. Volcanoes are one type of feature that forms from extrusive rocks. Several other interesting landforms are also extrusive features. Intrusive igneous rocks cool below the surface. These rocks do not always remain hidden. Rocks that formed in the crust are exposed when the rock and sediment that covers them is eroded away.,surface
What equals the output power divided by the input power?,; The efficiency equals the output power divided by the input power.,efficiency
What is the result of a reaction between sulfur trioxide and water?,Sulfur trioxide gas reacts with water to form sulfuric acid. This is an unfortunately common reaction that occurs in the atmosphere in some places where oxides of sulfur are present as pollutants. The acid formed in the reaction falls to the ground as acid rain.,sulfuric acid
"What body system consists of organs that break down food, absorb nutrients, and eliminate waste?","The digestive system consists of organs that break down food, absorb nutrients, and eliminate waste.",digestive system
What does the pull of the moon's gravity on earth cause?,"Figure below shows why tides occur. The main cause of tides is the pull of the Moon’s gravity on Earth. The pull is greatest on whatever is closest to the Moon. Although the gravity pulls the land, only the water can move. As a result:.",tides
What is the region known as the myelencephalon in the embryonic brain?,"Medulla The medulla is the region known as the myelencephalon in the embryonic brain. The initial portion of the name, “myel,” refers to the significant white matter found in this region—especially on its exterior, which is continuous with the white.",medulla
What do we call the cartilaginous structure that surrounds the notochrod?,"distinctly differ from the adult form, spending 3 to 15 years as suspension feeders. Once they attain sexual maturity, the adults reproduce and die within days. Lampreys possess a notochord as adults; however, this notochord is surrounded by a cartilaginous structure called an arcualia, which may resemble an evolutionarily early form of the vertebral column.",arcualia
Scientists perform experiments to test their hypotheses because sometimes the nature of natural universe is what?,Scientists perform experiments to test their hypotheses because sometimes the nature of natural universe is not obvious.,not obvious
What is the tectonic zone called where two plates come together?,Describe and explain volcanic activity that occurs within oceanic and continental plates.,convergent boundary
What type of microscope is used to see extremely small objects?,"Light microscopes continued to improve and are still used today. However, to see extremely small objects, a different type of microscope, such as an electron microscope, must be used.",electron microscope
What do you call mixtures of ash and water that travel down river valleys?,"Lahars are mixtures of ash and water that travel down river valleys. On Mount St. Helens, the eruption melted glaciers. The water mixed with ash from the eruption and created tremendous lahars. The lahars raced down valleys and knocked out many bridges.",lahars
What third property is different if two boxes have the same volume but one has greater mass?,"A: Both boxes have the same volume because they are the same size. However, the books have greater mass than the feathers. Therefore, the box of books has greater density.",density
Convection in which part of the earth drives the movement of the plates of lithosphere over the earth’s surface?,Convection in the mantle drives the movement of the plates of lithosphere over the Earth’s surface. New oceanic crust forms at the ridge and pushes the older seafloor away from the ridge horizontally.,mantle
What is in the inside of your mouth and nose instead of skin?,"The mouth and nose are not lined with skin. Instead, they are lined with mucous membranes . Other organs that are exposed to the outside world, including the lungs and stomach, are also lined with mucous membranes. Mucous membranes are not tough like skin, but they have other defenses.",mucous membranes
Electronegativities are used to determine the polarity of covalent bonds. the polarity of a covalent bond can be judged by determining the difference of the electronegativities of what involved in the covalent bond?,"Electronegativities are used to determine the polarity of covalent bonds. The polarity of a covalent bond can be judged by determining the difference of the electronegativities of the two atoms involved in the covalent bond, as summarized in the following table: Electronegativity Difference.",two atoms
What is the predicted year that as many as half of all remaining species could go extinct?,"Evidence shows that a sixth mass extinction is happening right now. Species are currently going extinct at the fastest rate since the dinosaurs died out. Dozens of species are going extinct every day. If this rate continues, as many as half of all remaining species could go extinct by 2050.",2050
"What is the clear, protective covering on the outside of the eye?","First, light passes through the cornea of the eye. The cornea is a clear, protective covering on the outside of the eye.",cornea
What measures the force of gravity pulling on an object?,Weight measures the force of gravity pulling on an object. The SI unit for weight is the Newton (N).,weight
"Photosynthesis uses solar energy, carbon dioxide, and water to produce energy-storing carbohydrates.what is produced as a waste product?","Figure 8.4 Photosynthesis uses solar energy, carbon dioxide, and water to produce energy-storing carbohydrates. Oxygen is generated as a waste product of photosynthesis.",oxygen
"What kind of cells have positive cell potentials, and all the reduction reactions are reversible?","Galvanic cells have positive cell potentials, and all the reduction reactions are reversible. The reaction at the anode will be the half-reaction with the smaller or more negative standard reduction potential. Reversing the reaction at the anode (to show the oxidation) but not its standard reduction potential gives: Anode (oxidation):.",galvanic cells
What is it called when rays focus at different distances from the lens?,Figure 26.30 Spherical aberration is caused by rays focusing at different distances from the lens.,spherical aberration
The yellowstone hot spot is a famous example of a what?,"Hot spots are found within continents, but not as commonly as within oceans. The Yellowstone hot spot is a famous example of a continental hot spot.",continental hot spot
Eight of the hottest years on record have occurred since what year?,"Since the mid 1800s, Earth has warmed up quickly. Look at Figure below . The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming .",1998
What type of treatment is necessary for anaphylaxis?,"In some people, a food allergy can trigger a severe allergic reaction called anaphylaxis. Emergency treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a coma or death. Anaphylaxis is vary rare. The vast majority of people will never have an anaphylactic reaction. The life-threatening symptoms of anaphylaxis include:.",emergency
What are most protist diseases in humans caused by?,Most protist diseases in humans are caused by protozoa. Protozoa make humans sick when they become human parasites.,protozoa
Who built the first telescope?,Humans have been making and using magnifying lenses for thousands of years. The first telescope was built by Galileo in 1608. His telescope used two lenses to make distant objects appear both nearer and larger.,galileo
"When the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell during this process?","During mitosis , when the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell. This is shown in Figure below . You can watch an animation of the process at the following link: http://www. biology. arizona. edu/Cell_bio/tutorials/cell_cycle/MitosisFlash. html .",mitosis
What do we call the seasonal movement of animals?,"Monarch butterflies gather in large groups as they migrate 2,500 miles south each fall. They return to the north in the spring. This migration is a cycle that repeats every year.",migration
The process of producing mature sperm is called what?,The process of producing mature sperm is called spermatogenesis . Sperm are produced in the seminiferous tubules of the testes and become mature in the epididymis . The entire process takes about 9 to 10 weeks. You can watch an animation of spermatogenesis at this link: http://wps. aw. com/bc_martini_eap_4/40/10469/2680298. cw/content/index. html .,spermatogenesis
What is the study of energy and how it interacts with matter?,"Physics is the study of energy and how it interacts with matter. Important concepts in physics include motion, forces such as magnetism and gravity, and different forms of energy. Physics concepts can answer all the questions on the right page of the notebook in Figure above .",physics
Geologists group rocks based on how they what?,Geologists group rocks based on how they form. There are three major rock types. Each will be described in more detail in the coming concepts.,form
What effect causes global winds to blow on a diagonal over the earth's surface?,Global winds occur in belts around the globe. They are caused by unequal heating of Earth’s surface. The Coriolis effect causes global winds to blow on a diagonal over the surface. Unequal heating also causes jet streams high in the troposphere.,coriolis effect
What type of structures evolved to do the same job by unrelated organisms?,"Scientists compare the anatomy, embryos, and DNA of living things to understand how they evolved. Evidence for evolution is provided by homologous structures. These are structures shared by related organisms that were inherited from a common ancestor. Other evidence is provided by analogous structures. These are structures that unrelated organisms share because they evolved to do the same job.",analogous structures
What term is used to describe the full range of electromagnetic waves?,"Electromagnetic waves vary in their wavelength, frequency, and energy. The full range of electromagnetic waves makes up the electromagnetic spectrum.",electromagnetic spectrum
Which is larger: the human sperm or the human egg?,A human sperm is a tiny cell with a tail. A human egg is much larger. Both cells are mature haploid gametes that are capable of fertilization. What process is shown in this photograph?.,human egg
The electrochemical potential across a membrane determines the tendency of an ion to do what?,The electrochemical potential across a membrane determines the tendency of an ion to cross the membrane. The membrane may be that of a cell or organelle or other sub cellular compartment. The electrochemical potential arises from three factors:.,cross the membrane
What is the term for the number of waves that pass a fixed point in a given amount of time?,Wave frequency is the number of waves that pass a fixed point in a given amount of time. Higher frequency waves have more energy. Wave speed is calculated as wavelength multiplied by wave frequency. Wave speed is affected by the medium through which a wave travels.,wave frequency
What are biochemical catalysts that speed up biochemical reactions?,"Enzymes are biochemical catalysts that speed up biochemical reactions. Without enzymes, most chemical reactions in living things would occur too slowly to keep organisms alive.",enzymes
"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?","Below the topsoil is the “B” horizon. This is also called the subsoil . Soluble minerals and clays accumulate in the subsoil. Because it has less organic material, this layer is lighter brown in color than topsoil. It also holds more water due to the presence of iron and clay. There is less organic material in this layer.",subsoil
What travels 9.5 trillion kilometers a year?,"the distance light can travel in one year, 9.5 trillion kilometers.",light
"What is the name for the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells?","The second major step is cytokinesis. As in prokaryotic cells, the cytoplasm must divide. Cytokinesis is the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells.",cytokinesis
What consists of thylakoid membranes surrounded by stroma?,A chloroplast consists of thylakoid membranes surrounded by stroma. The thylakoid membranes contain molecules of the green pigment chlorophyll.,a chloroplast
What are magnetites naturally attracted to?,Magnetite naturally attracts iron nails and filings. Its natural magnetism was discovered thousands of years ago.,iron
"The earliest types of what lacked flowers, leaves, roots and stems?","Most modern plants, like the skunk cabbage, produce flowers. However, flowers evolved relatively late in the history of plants. The earliest plants not only lacked flowers. They also lacked leaves, roots, and stems. They probably resembled the alga in Figure below .",plants
What substances digest the food in the vacuole of an ingestive protist?,"Ingestive protists ingest, or engulf, bacteria and other small particles. They extend their cell wall and cell membrane around the food item, forming a food vacuole. Then enzymes digest the food in the vacuole.",enzymes
"What layer covers the bones that make them look tough, shiny, and white?","Bones look tough, shiny, and white because they are covered by a layer called the periosteum . Many bones also contain a soft connective tissue called bone marrow in the pores of the spongy bone. Bone marrow is where blood cells are made.",periosteum
What type of pollution results from the contaminants that enter a waterway or water body through a single site?,"Point source pollution results from the contaminants that enter a waterway or water body through a single site. Examples of this include untreated sewage, wastewater from a sewage treatment plant, and leaking underground tanks.",point source pollution
"If two populations do not mate and produce fertile offspring, what results?","How do you think scientists test whether two populations are separate species? They bring species from two populations back together again. If the two populations do not mate and produce fertile offspring, they are separate species.",separate species
Humans create different breeds of organisms using what kind of selection?,"Artificial Selection: Humans used artificial selection to create these different breeds. Both dog breeds are descended from the same wolves, and their genes are almost identical.",artificial selection
Energy resources can be put into two categories — renewable or?,Energy resources can be put into two categories — renewable or non-renewable. Nonrenewable resources are used faster than they can be replaced. Renewable resources can be replaced as quickly as they are used. Renewable resources may also be so abundant that running out is impossible.,nonrenewable
What are flightless birds that are strong swimmers and spend much of their time in the water?,Penguins are flightless birds that are strong swimmers and spend much of their time in the water.,penguins
"Bar, circle, and line are examples of what kind of data visualization?","Graphs are very useful tools in science because they display data visually. Three commonly used types of graphs are bar graphs, circle graphs, and line graphs. Each type of graph is suitable for a different type of data.",graphs
Atherosclerosis and coronary heart disease are examples of what type of body system disease?,"Diseases of the cardiovascular system are common and may be life threatening. Examples include atherosclerosis and coronary heart disease. A healthy lifestyle can reduce the risk of such diseases developing. This includes avoiding smoking, getting regular physical activity, and maintaining a healthy percent of body fat.",cardiovascular system
What is the physical breakdown of chunks of food into smaller pieces?,Mechanical digestion is the physical breakdown of chunks of food into smaller pieces. This type of digestion takes place mainly in the mouth and stomach.,mechanical digestion
Cells with different functions often differ in what physical property?,Cells come in many different shapes. Cells with different functions often have different shapes.,shape
What is the term for genes that control the expression of other genes within specific regions of cells in the developing organism?,Gap genes control the expression of other genes within specific regions of cells in the developing organism. This allows specific genes to be expressed in certain cells at the appropriate stage of development.,gap genes
